Player One,Player Two,Winner,Termination,Total Moves,Total Milliseconds,Starting Tile Index,Transcript,Winning Path One,Winning Path Two
Monte Carlo Beeline 3,Monte Carlo Beeline 3,One,Normal,19,69793,12,N16 S25 G N20 N07 G S06 S39 G N33 N24 G S35 S17 G N23 S29 G N23,N35 N17 N16 N04 N05 N01 N07 N08 N23 N24 S34 S35,
Monte Carlo Beeline 4,Monte Carlo Beeline 4,Two,Normal,22,79302,9,N03 N13 G N35 N31 G N03+ S04 G S09 S17 G S06 S01 G N19 S19 G S02 S05+ G S19,,N19 N18 N37 N36 S26 S25 S09 S10 S02 S01 S05 S19
Monte Carlo Tree Search,Monte Carlo Tree Search,Two,Normal,28,97825,22,N21 N38 G S14 S29 G S10 S11 G N04 S10+ G N27 N28 G S31+ S37 G N40 S27 G N29+ N28 G S12 S19 G N28,,S28 N38 N37 N18 N19 N05 N04 N03 N13 N12 N29 N28
Monte Carlo Tree Search,Parallel MCTS,One,Normal,18,114354,19,N18 S38 G N07 N21 G S15 S07 G S40 S30 G N10 N20 G S19 S03 G,N16 N17 N18 N37 N38 N39 N40 S30 S31 S14 S15 S16,
Monte Carlo Beeline 3,Parallel MCTS Beeline,One,Normal,21,91517,2,N08 N02 G S19 N27 G S21 S09 G S05 N31 G S39 S28 G N37 S02 G N36 S38 G,N22 N23 N24 N25 N26 N27 N28 N29 N30 S40 S21 S22,
Parallel MCTS,Monte Carlo Tree Search,Two,Normal,27,133625,43,S33 N25 G N40 N22 G N34 S16 G N15 N32 G S04 N05 G S26 S20 G N18 S03 G S06 S09 G S21 S12 G,,N02 N10 N11 N27 N26 S36 S35 S17 S16 S04 S03 S02
Parallel MCTS Beeline,Monte Carlo Beeline 4,Two,Normal,22,133629,43,S33 N01 G N26 S31 G S35 S18 G N37 S39 G N09 N10 G N10+ S05 G S03 N36+ G N36+,,N26 N25 N09 N10 N02 N01 N05 N19 N18 N37 N36 S26
Parallel MCTS,Monte Carlo Beeline 3,Two,Normal,22,110312,43,S33 N01 G N28 N23 G N20 N19 G S07 N22 G N11 N13 G S37 N11+ G S27 N30 G N12,,N18 N19 N05 N04 N03 N13 N12 N29 N28 S38 S37 S18
Monte Carlo Beeline 4,Parallel MCTS,Two,Normal,22,95302,9,N03 S24 G S28 S40 G N16 S25 G N33 S31 G S06 N21 G N23 S30 G S01 S08+ G N20,,N23 N22 N21 N06 N20 N39 N38 S28 S27 S26 S25 S24 S23
Monte Carlo Beeline 3,Monte Carlo Tree Search,Two,Normal,21,69744,66,S18 S39 G S02 S07 G N08 S05 G N12 N28 G N31 N30 G S30 S19 G N05 S19 G,,N11 N12 N29 N30 S40 S39 S20 S19 S05 S01 S02 S10 S11
