Player One,Player Two,Winner,Termination,Total Moves,Total Milliseconds,Starting Tile Index,Transcript,Winning Path One,Winning Path Two
Monte Carlo Tree Search,Monte Carlo Tree Search,One,Normal,19,65240,68,S07 N32 G S20 S17 G N34 S02 G N05 S05 G N20 S25 G N23 N08 G S23,N35 N34 S24 S23 S08 S07 S01 S05 S04 S16 S17 S35,
Monte Carlo Beeline 4,Monte Carlo Beeline 4,One,Normal,25,91553,66,S18 S07 G S30 S02 G S26 N36 G S11 S12 G S28 N38 G N38+ N26 G S11 S27 G N34 S16+ G N11,N11 N27 N26 S36 S35 S17 S16 S04 S03 S13 S12 S11,
Monte Carlo Beeline 3,Monte Carlo Beeline 3,One,Normal,25,93785,5,N02 N06 G N26 N33 G N24 N09 G S01 S10 G N08 S25 G N08 N25 G N10 S32 G S16 S23 G N09,N34 N33 N15 N16 N04 N03 N02 N10 N09 N25 N24 S34,
Monte Carlo Tree Search,Parallel MCTS,One,Normal,18,119277,61,S04 S40 G S32 N26 G N02 S27 G S34 S17 G N09 S08 G S37 S25 G,N01 N02 N10 N09 N25 N26 S36 S35 S17 S16 S04 S05 S01,
Monte Carlo Beeline 3,Monte Carlo Beeline 4,Two,Normal,27,92245,32,N34 S25 G N17 N04 G S19 N15 G N28 N36 G S07 S17 G S31 N39 G S36 S37 G S18 S29 G S03 N31+ G,,N16 N15 N14 N31 N30 N29 N28 S38 S37 S18 S17 S16
Monte Carlo Beeline 4,Parallel MCTS Beeline,One,Normal,21,121164,66,S18 N09 G S25 N32 G S31 N34 G N29 S40 G N16 N02 G N15 S14+ G S32+ S34 G,N14 N31 N30 S40 S39 S38 S37 S18 S17 S16 S15 S14,
Monte Carlo Beeline 3,Parallel MCTS Beeline,One,Normal,27,118368,21,S32 S27 G N06 N38 G N27 N21 G S29 S30 G N28 N08 G N24 N18 G S35 S37 G N16 S36 G N03 N39 G,N30 N29 N28 N27 N26 S36 S35 S34 S33 S32 S31 S30,
Monte Carlo Beeline 4,Monte Carlo Tree Search,Two,Normal,28,98704,44,S38 S04 G N23 S15 G N07 S36 G N20 N10 G S07 S06 G S21 S18 G S28 N17 G N17+ N40 G S17 S16 G N21+,,N35 N17 N18 N19 N20 N06 N21 N22 N23 N24 S34 S35
Parallel MCTS,Monte Carlo Tree Search,Two,Normal,24,143292,12,N16 S09 G N14 S35 G S05 N07 G S28 S20 G S39 S32 G N02 N04+ G S21 N24 G N38+ S13 G,,N08 N07 N06 N20 N39 N38 S28 S27 S26 S25 S09 S08
Parallel MCTS Beeline,Monte Carlo Tree Search,Two,Normal,24,132940,51,S21 N29 G N34 S40 G S23 N24 G S30 S03 G N31 S14 G N10 S24 G N37 S05 G N22 N21 G,,N29 N12 N11 N10 N09 N08 N23 N22 S32 S31 S30 S29
