Player One,Player Two,Winner,Termination,Total Moves,Total Milliseconds,Starting Tile Index,Transcript,Winning Path One,Winning Path Two
Monte Carlo Beeline 4,Monte Carlo Beeline 4,Two,Normal,22,91450,9,N03 N13 G N35 N31 G N03+ S04 G S09 S17 G S06 S01 G N19 S19 G S02 S05+ G S19,,N19 N18 N37 N36 S26 S25 S09 S10 S02 S01 S05 S19
Monte Carlo Beeline 3,Monte Carlo Beeline 3,One,Normal,27,102136,77,S03 S22 G N10 N31 G S24 S10 G S39 S08 G S27 N06 G S38 N07 G N28 S15 G N33 S34 G N33 N28 G,N13 N14 N15 N33 N34 S24 S25 S26 S27 S11 S12 S13,
Monte Carlo Tree Search,Monte Carlo Tree Search,One,Normal,25,94362,16,N19 S14 G S08 S10 G S16 S27 G N23 S25 G N26 S03 G S03+ S02+ G N10 N11 G N11+ N10+ G N10,N17 N18 N19 N05 N01 N02 N10 N09 N25 N26 S36 S35 S17,
Parallel MCTS Beeline,Monte Carlo Beeline 4,Two,Normal,21,138471,12,N16 S15 G S21 N07 G N28 S38 G N33 S26 G N35 S05 G N05 S23 G S03 S06+ G,,S32 S33 S15 S16 S04 S05 S19 S20 S06 S21 S22 N32
Monte Carlo Tree Search,Parallel MCTS,One,Normal,18,105555,20,N22 S28 G N25 S04 G N19 S39 G N25+ S15 G N07 S27+ G N09+ N23+ G,N05 N19 N20 N06 N21 N22 S32 S33 S15 S16 S04 S05,
Parallel MCTS,Monte Carlo Tree Search,Two,Normal,22,143303,78,S12 N23 G S18 N33 G S19 N39 G S24 N34 G N32+ S25 G N20+ S05 G S38 N36 G S19,,N19 N20 N06 N07 N08 N23 N24 S34 S35 S17 S18 S19
Parallel MCTS,Parallel MCTS,One,Normal,18,153004,12,N16 S37 G S16 S05 G N33 S28 G S25 S23 G S07 N05 G S03 S04 G,N04 N16 N15 N33 N32 S22 S23 S08 S07 S01 S05 S04,
Parallel MCTS,Monte Carlo Beeline 3,Two,Normal,21,98293,65,S05 S32 G N03 S18 G N16 S02 G N08 N25 G S13 N14 G N32 S28 G N01 N09 G,,N15 N14 N13 N03 N02 N10 N09 N08 N23 N22 S32 S33 S15
Parallel MCTS Beeline,Monte Carlo Tree Search,Two,Normal,24,117419,12,N16 S23 G N29 N19 G S22 N33 G S11 S05 G N31 S20 G S22 S09 G S09 S25+ G S37 S13 G,,N11 N27 N28 S38 S39 S40 S21 S22 S23 S24 S25 S26 S27 S11
Monte Carlo Beeline 4,Parallel MCTS,Two,Normal,22,91602,60,S16 N38 G S22 S40 G N13 S25 G N21 N36 G S27 S11 G S11+ S10 G S19 S20 G S10,,N22 N21 N40 N39 N38 S28 S29 S12 S11 S10 S09 S08 S23 S22
Monte Carlo Beeline 3,Monte Carlo Tree Search,Two,Normal,21,70601,28,N30 S33 G N20 N19 G S18 N04 G N20+ S16 G N34 S13 G N01 N15 G S03 N03+ G,,N13 N03 N02 N01 N07 N06 N21 N22 S32 S31 S14 S13
Monte Carlo Beeline 4,Parallel MCTS Beeline,One,Normal,31,174282,40,S34 N12 G N03 N20 G S20 S40 G S19 S01 G S11 S04 G S18 N09 G S08 S13 G S28 S05 G S17 N36 G S26 N35 G N17,N17 N18 N19 N20 N06 N07 N08 N23 N24 S34 S35 S17,
