Player One,Player Two,Winner,Termination,Total Moves,Total Milliseconds,Starting Tile Index,Transcript,Winning Path One,Winning Path Two
Monte Carlo Beeline 3,Monte Carlo Beeline 3,Two,Normal,22,77210,0,N07 S12 G S38 N28 G N37 S24 G S34 S26 G S09 N39 G N19 N20 G S40 S15 G S40,,S40 S39 S38 S37 S36 S35 S34 S33 S15 S14 S13 S12 S29 S30 N40
Monte Carlo Beeline 4,Monte Carlo Beeline 4,One,Normal,25,90705,24,N26 S37 G N11 N02 G S13 N09 G N40 N28 G N38 S15 G S31 N19 G S28 S29 G S11 S40 G S11,N03 N04 N05 N19 N18 N37 N38 S28 S27 S11 S12 S13 S03,
Monte Carlo Beeline 4,Monte Carlo Tree Search,One,Normal,19,67179,0,N07 N37 G N14 N28 G S30 S12 G S39 S28 G N30 S09 G N10 N25 G N26,N30 N29 N28 N27 N26 N25 N09 N08 N07 N06 N21 N40 S30,
Monte Carlo Beeline 3,Monte Carlo Beeline 4,One,Normal,25,82724,11,N12 N03 G N32 S07 G S03 S11 G N08 N34 G N14 S11+ G N17 N35 G S35 N33 G N30 S17 G S23,N35 N34 S24 S23 S08 S07 S01 S05 S04 S16 S17 S35,
Monte Carlo Tree Search,Parallel MCTS,One,Normal,21,112745,40,S34 S05 G S33 S20 G S09 N04 G S28 N19 G N36 N10 G N31 S07 G N11 N34 G,N20 N19 N18 N37 N36 S26 S25 S09 S08 S07 S06 S20,
Monte Carlo Tree Search,Monte Carlo Beeline 3,Two,Normal,22,74469,16,N19 S27 G S34 S31 G S04 N40 G N22 S29 G S40 N38 G S23 N06 G S20 S06 G N21,,S36 S35 S34 N24 N23 N22 N21 N40 N39 N38 S28 S27 S26 N36
Monte Carlo Beeline 4,Parallel MCTS Beeline,One,Normal,21,125658,24,N26 S18 G S01 S40 G S08 S25 G N16 N36 G S10 N07 G S07 N23 G N21 N39 G,N09 N25 N26 N27 N28 N29 N30 S40 S21 S22 S23 S08 S09,
Parallel MCTS,Monte Carlo Beeline 3,Two,Normal,27,111933,25,S36 N40 G N02 S18 G N09 S09 G S05 S23 G N27 S13 G N07 S12 G N08+ S08 G S39 N33 G S15 S40 G,,N07 N06 N21 N22 S32 S31 S14 S13 S03 S02 S01 S07
Parallel MCTS Beeline,Monte Carlo Tree Search,Two,Normal,24,116520,63,S17 S13 G N23 S05 G S04 S25 G N33 S09 G N34 N05 G S28 S20 G N11 N15+ G N37 N26 G,,N14 N15 N33 N34 S24 S25 S26 S27 S11 S12 S13 S14
Parallel MCTS Beeline,Monte Carlo Beeline 4,Two,Normal,21,135296,66,S18 S07 G N40 S37 G S31 S12 G S15 N15 G S29 S28 G S03 S34 G N29 S03+ G,,N06 N20 N39 N38 S28 S29 S12 S13 S03 S02 S01 S07 S06
Parallel MCTS Beeline,Parallel MCTS,One,Normal,19,121146,67,S20 N05 G S40 S28 G S03 N12 G N09 S38 G N40 S12 G S22 S10 G S11,N38 S28 S27 S11 S10 S02 S03 S04 S05 S19 S18 S37 S38,
Monte Carlo Tree Search,Monte Carlo Tree Search,One,Normal,36,125701,43,S33 N09 G N39 N07 G N19 N22 G S21 N24 G N08 N23 G N25+ S23 G S07 N34 G S25 N32 G N14 S22 G N31 N24 G S22 N30+ G N08 S32 G,S32 S33 S15 S16 S04 S05 S01 S07 S08 S23 S22 N32,
Parallel MCTS,Monte Carlo Tree Search,Two,Normal,24,141015,65,S05 S02 G S16 N10 G S37 S24 G N01 N22 G S34 N15 G N14 N33 G N33+ N15+ G S31 S39 G,,N13 N14 N15 N33 N34 S24 S25 S09 S10 S02 S03 S13
Parallel MCTS,Parallel MCTS,Two,Normal,21,149711,65,S05 N30 G N03 S02 G S10 N06 G S35 N01 G N37 N18 G N19 S27 G N37+ N20+ G,,N21 N06 N20 N19 N05 N04 N03 N13 N14 N31 N30 S40 S21
Monte Carlo Tree Search,Monte Carlo Beeline 4,One,Normal,18,58244,22,N21 S36 G N03 N27 G N25 S40 G S38 S28 G N29 N32 G N23 N08 G,N27 N26 N25 N09 N08 N07 N06 N20 N39 N38 S28 S27,
Monte Carlo Beeline 3,Parallel MCTS Beeline,One,Normal,25,130933,77,S03 N01 G N20 N38 G S36 N02 G N28 N11 G N14 S17 G S34 S18 G S19 N17 G S18 N18 G S18,N12 N11 N27 N26 S36 S37 S18 S19 S05 S04 S03 S13 S12,
Parallel MCTS,Monte Carlo Beeline 4,Two,Normal,21,82232,68,S07 S02 G S18 N38 G N27 N36 G S25 S05 G S16 S15 G N16 S12 G N03 S15+ G,,S36 S35 S17 S16 S15 S14 S13 S03 S02 S10 S09 S25 S26 N36
Monte Carlo Beeline 4,Parallel MCTS,Two,Normal,22,115543,73,S02 N38 G N08 N36 G N14 N12 G S25 N06 G S39 S31 G S33 N10 G S26 N25 G N11+,,N27 N11 N10 N09 N08 N23 N22 S32 S31 S30 S29 S28 S27
