Player One,Player Two,Winner,Termination,Total Moves,Total Milliseconds,Starting Tile Index,Transcript,Winning Path One,Winning Path Two
Monte Carlo Beeline 3,Monte Carlo Beeline 3,Two,Normal,22,79972,46,S39 S04 G N26 S36 G N34 N36 G S34 N18 G S10 N16 G N35 S12 G N09 N13 G N12,,N13 N12 N11 N27 N26 N25 N24 S34 S33 S15 S16 S04 S03 S13
Monte Carlo Beeline 4,Monte Carlo Beeline 4,One,Normal,24,88136,64,S19 S01 G S15 S03 G S22 N34 G S12 S34 G N22 N17 G S35 S13+ G S35 N01 G S17 S35+ G,N22 N23 N24 S34 S35 S36 S37 S18 S19 S20 S06 S21 S22,
Monte Carlo Tree Search,Monte Carlo Tree Search,Two,Normal,28,100775,75,S11 S31 G N37 N40 G N07 S29 G S37 N38 G N38 S28 G S28+ S27 G N29 N38 G N38 S22 G S28 N40 G S40,,S40 S39 S38 S37 S18 S17 S16 S15 S14 S31 S30 N40
Parallel MCTS,Monte Carlo Tree Search,Two,Normal,18,114194,46,S39 N34 G N12 S17 G S02 S27 G N31 S28 G S38+ N22 G S24+ N39 G,,N11 N12 N13 N14 N15 N33 N34 S24 S25 S26 S27 S11
Monte Carlo Beeline 3,Monte Carlo Beeline 4,One,Normal,27,90170,33,S24 N33 G N37 N16 G S16 N35 G N22 S36 G N39 N23 G N38+ S10 G N39 S03 G N12 N27 G S03 N17+ G,N11 N27 N26 S36 S35 S17 S16 S04 S03 S02 S10 S11,
Monte Carlo Beeline 4,Parallel MCTS Beeline,One,Normal,24,123636,64,S19 N14 G S09 S24 G S31 N04 G N17 S27 G S13 S34 G N36 S26 G N39 N26 G N25 N35 G,N39 N40 S30 S31 S14 S13 S03 S04 S05 S19 S20 S39,
Monte Carlo Tree Search,Parallel MCTS,One,Normal,19,125075,71,S08 N14 G N10 S33 G S04 N37 G S34 N24 G S02 N22 G S34 S35 G S34,N23 N24 S34 S33 S15 S16 S04 S05 S01 S07 S08 S23,
Monte Carlo Beeline 3,Parallel MCTS Beeline,One,Normal,24,115092,72,S10 S27 G S13 S15 G N15 N27 G S25 S24 G N06 S18 G S05 N05 G S03 S30 G N01 N22 G,N16 N04 N05 N19 N20 N06 N21 N22 S32 S33 S15 S16,
Parallel MCTS Beeline,Parallel MCTS Beeline,One,Normal,21,143011,10,N14 S29 G S30 N38 G S13 S40 G S21 S24 G S10 N11 G S25 N28 G S25 S33 G,N13 N14 N15 N33 N34 S24 S25 S09 S10 S02 S03 S13,
Monte Carlo Tree Search,Monte Carlo Beeline 3,One,Normal,30,101942,57,N40 N05 G S38 N35 G S18 N38 G N18 N29 G S27 N27 G N11 N12 G N10 S25 G N09 S06 G N25 S22 G N24 S16+ G,N21 N22 S32 S31 S14 S15 S16 S04 S05 S19 S20 S06 S21,
Parallel MCTS Beeline,Monte Carlo Beeline 3,Two,Normal,22,92798,14,N17 S18 G N08 S22 G N07 S06 G N01 N27 G N24 N25 G N26 N06 G N26 S02 G N26,,N07 N08 N09 N25 N26 S36 S37 S38 S39 S20 S06 S07
Monte Carlo Beeline 4,Monte Carlo Tree Search,Two,Normal,30,105892,26,N25 S37 G N13 S17 G N04 N01 G S01 N02 G N29 S29 G N02 S40 G S12 N12+ G N07+ N03 G S11 N03 G S12 S35+ G,,N12 N13 N03 N02 N01 N07 N06 N21 N40 S30 S29 S12
Parallel MCTS,Parallel MCTS,Two,Normal,21,147728,17,N05 N20 G S25 S14 G N16 S16 G N07 N38 G S05 S29 G N39+ S11 G N38 N21+ G,,N08 N07 N06 N21 N40 S30 S29 S28 S27 S26 S25 S09 S08
Parallel MCTS Beeline,Monte Carlo Beeline 4,Two,Normal,30,152523,10,N14 N20 G N10 N02 G S18 N30 G S08 N03 G N18 N38 G S02 S01 G S11 S12 G N32 S29 G N05+ S09+ G S21+ N07 G,,N08 N09 N25 N26 N27 N28 N29 N30 S40 S21 S22 S23 S08
Parallel MCTS Beeline,Monte Carlo Tree Search,Two,Normal,27,144073,62,S15 S12 G S19 S05 G N11 S34 G S22 S08 G S24 N34 G S32 N40 G S40 S39 G N30 S33 G N37 N16 G,,N22 N23 N24 S34 S35 S36 S37 S38 S39 S40 S21 S22
Parallel MCTS,Monte Carlo Beeline 4,One,Normal,21,84450,60,S16 N16 G S12 N15 G S06 S05 G S08 N32 G S38 S37 G S36 S18 G S18+ S03 G,N33 N32 S22 S21 S06 S20 S39 S38 S37 S18 S17 S16 S15 S33,
Monte Carlo Tree Search,Monte Carlo Beeline 4,Two,Normal,22,75062,14,N17 N08 G S37 N40 G N32 N37 G N19 N01 G N18+ S01 G N07+ S05 G N19 N25+ G S05,,N07 N08 N09 N25 N26 S36 S37 S18 S19 S05 S01 S07
Monte Carlo Beeline 4,Parallel MCTS,Two,Normal,27,140258,62,S15 S20 G S09 S27 G N35 S29 G S11 N40 G S11 N37 G N11 N28 G N36+ N14 G N10 N12 G S13+ N03 G,,N02 N03 N13 N14 N31 N30 S40 S21 S06 S07 S01 S02
Parallel MCTS Beeline,Parallel MCTS,Two,Normal,28,159123,47,S37 S06 G N24 S24 G N40 S05 G N14 N31 G N09 N29 G N14+ N31 G S39 N30 G S40+ S03 G S03 N16+ G N16+,,N04 N03 N13 N12 N29 N30 S40 S21 S06 S07 S01 S05 S04
Parallel MCTS,Monte Carlo Beeline 3,Two,Normal,34,154473,66,S18 S20 G S02 N24 G N32 N38 G N14 N03 G S27 N10 G N29 N12 G S12 N27 G N01 N26+ G N12 N11 G N27 N13+ G N11 S31 G N11,,N01 N02 N10 N11 N27 N28 S38 S39 S20 S19 S05 S01
