Player One,Player Two,Winner,Termination,Total Moves,Total Milliseconds,Starting Tile Index,Transcript,Winning Path One,Winning Path Two
Monte Carlo Beeline 3,Monte Carlo Beeline 3,Two,Normal,24,81037,58,S31 S23 G N16 N04 G N39 S13 G S15 N33 G N35 S34 G N31 N36 G S33 N34 G S10 S02 G,,N14 N31 N32 S22 S23 S08 S09 S10 S11 S12 S13 S14
Monte Carlo Tree Search,Monte Carlo Beeline 3,Two,Normal,22,77955,27,N27 S32 G S18 S06 G N20 N07 G S01 N02 G S08 S28 G S38 N38 G N01 S16 G N38,,N38 S28 S29 S30 S31 S14 S15 S16 S17 S18 S37 S38
Monte Carlo Beeline 4,Monte Carlo Tree Search,Two,Normal,27,92431,53,N36 N08 G S12 S30 G S33 N38 G N40 S07 G N20 N06 G S19 N11 G S10 N03 G N05 S04 G N27+ N16 G,,N13 N03 N04 N05 N19 N20 N39 N38 S28 S29 S12 S13
Monte Carlo Beeline 4,Monte Carlo Beeline 4,Two,Normal,28,92659,44,S38 N27 G N31 N12 G S02 N03 G N24 N25 G S11 S19 G N26+ S17 G N09 S28 G N29 N36 G S27+ N07 G N08,,N22 N23 N08 N07 N01 N02 N03 N13 N14 N31 N32 S22
Parallel MCTS,Monte Carlo Tree Search,Two,Normal,21,101302,45,N28 S06 G N15 N06 G S22 N30 G N19 S39 G S27 S20+ G S21 N32+ G N39 N31+ G,,N19 N05 N04 N16 N15 N14 N31 N30 S40 S21 S06 S20 S19
Parallel MCTS Beeline,Monte Carlo Tree Search,Two,Normal,21,97796,57,N40 N02 G N36 S36 G S39 N22 G S14 S25 G S33 S32 G N07 S31 G S31 S33 G,,N13 N03 N02 N10 N09 N08 N23 N22 S32 S33 S15 S14 S13
Parallel MCTS,Monte Carlo Beeline 4,One,Normal,21,99142,70,S06 S02 G S16 S23 G S35 S39 G N17 N28 G S19 S26 G S17 S11 G S36+ N26 G,N34 S24 S23 S22 S21 S06 S20 S19 S18 S37 S36 S35 S34,
Parallel MCTS,Monte Carlo Beeline 3,Two,Normal,24,101392,52,S26 S03 G N40 N21 G S20 S38 G S18 S36 G N19 S37 G S28 N40 G S23 N18 G N18 N14 G,,N29 N28 S38 S37 S18 S19 S05 S04 S03 S13 S12 S29
Monte Carlo Tree Search,Monte Carlo Tree Search,One,Normal,31,102169,55,S25 S31 G N19 N40 G N14 S27 G N09 S12 G N02 S02 G N07 N23 G S11 N11 G S10 S26 G S29 S10+ G S11 S29+ G S28,N22 N21 N40 S30 S29 S28 S27 S26 S25 S24 S23 S22,
Monte Carlo Tree Search,Parallel MCTS Beeline,One,Normal,19,77663,72,S10 N30 G N24 N28 G S19 S39 G S37 S18 G S18+ N03 G S38 S36 G N26,N27 N26 S36 S37 S18 S19 S05 S01 S02 S10 S11 S27,
Monte Carlo Beeline 4,Monte Carlo Beeline 3,One,Normal,25,78006,17,N05 S18 G S12 S11 G N36 N18 G S28 S30 G S12 N33 G N21 N16 G S34 S33 G N17 N02+ G N17,N10 N02 N03 N04 N16 N17 N35 N36 S26 S27 S11 S10,
Monte Carlo Beeline 3,Parallel MCTS,Two,Normal,21,103830,76,S13 N11 G S17 N04 G N21 S02 G S04 S09 G S05 N02 G S38 S03 G S03 S01+ G,,N02 N10 N11 N27 N26 S36 S37 S18 S19 S05 S01 S02
Parallel MCTS Beeline,Parallel MCTS,One,Normal,19,104001,75,S11 S22 G S35 S06 G N21 S01 G S08 N24 G N10 N09 G N01 S25 G S30,N25 N24 N23 N22 N21 N40 S30 S29 S28 S27 S26 S25,
Parallel MCTS Beeline,Monte Carlo Beeline 3,One,Normal,24,108666,64,S19 N06 G N11 N10 G N31 N03 G N36 N26 G S08 S07 G S14 N02 G N10 S02 G S07 S03 G,N03 N02 N10 N09 N25 N26 S36 S37 S18 S19 S05 S04 S03,
Parallel MCTS,Parallel MCTS Beeline,Two,Normal,22,109290,70,S06 N33 G S10 S09 G N18 S26 G S13 S24 G N26 N35 G S14 S24+ G N34 S34 G N17,,N14 N15 N16 N17 N35 N36 S26 S27 S11 S12 S13 S14
Monte Carlo Beeline 4,Parallel MCTS,One,Normal,24,109731,53,N36 N24 G S02 S33 G S36 S31 G N12 S13 G S11 S29 G S30+ S12 G N10 S14 G N27 S14 G,N17 N35 N36 S26 S27 S11 S12 S13 S14 S15 S16 S17,
Monte Carlo Beeline 3,Parallel MCTS Beeline,One,Normal,24,110651,28,N30 S35 G S21 S40 G N24 S27 G S03 N36 G N26 S19 G N27 N28 G N26 N33 G N20 S22 G,N22 N23 N24 N25 N26 N27 N28 N29 N30 N31 N32 S22,
Monte Carlo Beeline 3,Monte Carlo Beeline 4,Two,Normal,33,112938,28,N30 S21 G N14 N03 G S16 N12 G N24 N32 G S19 S14 G S11 N35 G S32 S33 G N34 S15 G N26 S34+ G S13+ N34 G S38 S32+ G,,N08 N23 N22 S32 S31 S30 S29 S12 S11 S10 S09 S08
Monte Carlo Beeline 3,Monte Carlo Tree Search,One,Normal,31,97197,4,N10 S12 G S20 S22 G S28 N12 G N04 S05 G N30 N36 G N37 N28 G S27 N29+ G N28 N29 G N11 N27 G N39 S26 G S29,N29 N30 S40 S21 S22 S23 S24 S25 S26 S27 S28 S29,
Parallel MCTS,Parallel MCTS,One,Normal,25,120606,74,S09 S24 G S28 S31 G S22 S02 G S18 S11 G S12 S29+ G S13 S12+ G N19 S13 G N12 S30 G S12+,N22 S32 S31 S30 S29 S12 S11 S10 S09 S08 S23 S22,
Monte Carlo Tree Search,Parallel MCTS,Two,Normal,28,119603,78,S12 N25 G N15 N33 G S36 S35 G N01 N04 G S36+ S04 G S15 S33 G S32 S35 G S05+ S01 G S34 N05 G S34,,N05 N01 N07 N08 N23 N24 S34 S35 S17 S16 S04 S05
Parallel MCTS Beeline,Parallel MCTS Beeline,One,Normal,27,127627,41,N24 N31 G S07 S02 G S16 S35 G S14 S37 G N03 S28 G S25 N28 G N36 S15 G N11 S26 G S26 N16 G,N10 N09 N25 N26 S36 S37 S18 S19 S05 S04 S03 S02 S10,
Monte Carlo Beeline 4,Parallel MCTS Beeline,One,Normal,30,130639,46,S39 N37 G S38 N04 G S33 S04 G S18 N20 G N14 N31 G S12 S13 G S10 S07 G N22 N30 G N19+ N14 G S13 N01+ G,N06 N07 N01 N02 N03 N13 N12 N29 N30 S40 S21 S06,
Monte Carlo Tree Search,Monte Carlo Beeline 4,One,Normal,36,108243,27,N27 S36 G N08 N07 G S18 N02 G N33 N04 G N14 S39 G S37 S21 G N06+ N40 G S07 N21+ G S30 S03 G S40 S20 G N11 N40 G N40 S28 G,N30 N29 N12 N13 N03 N04 N05 N19 N20 N39 N38 S28 S29 S30,
Parallel MCTS Beeline,Monte Carlo Beeline 4,One,Normal,35,151729,29,S40 N29 G N33 N14 G N04 N31 G N39 N22 G N31 N30 G N01 N06 G S34 S19 G N31 N32 G S01 S05 G N05 N01 G S37 N32 G N05 N17,N15 N16 N17 N18 N19 N20 N06 N21 N22 S32 S33 S15,
Monte Carlo Tree Search,Monte Carlo Beeline 4,One,Normal,18,54333,72,S10 S13 G S18 S29 G N21 S08 G N09 S06 G S01 S07 G N01 S06+ G,N06 N21 N40 S30 S29 S12 S11 S10 S02 S01 S07 S06,
Parallel MCTS,Monte Carlo Beeline 4,One,Normal,18,57791,55,S25 N02 G N22 N31 G N28 S14 G N32 N15 G S03 S04 G N33 N14+ G,N27 N28 N29 N30 N31 N14 N15 N33 N34 S24 S25 S26 S27,
Monte Carlo Beeline 4,Parallel MCTS,One,Normal,19,59329,36,N38 S33 G N20 N19 G S03 S27 G S38 S29 G S12 N20 G S28 S05 G S28,N05 N19 N18 N37 N38 S28 S29 S12 S13 S03 S04 S05,
Monte Carlo Tree Search,Parallel MCTS,Two,Normal,22,68460,40,S34 S25 G N19 S06 G N01 N07 G N08 S08 G N10 S09+ G N37 N10+ G S08 N32 G N23,,N23 N08 N07 N06 N20 N19 N18 N37 N36 S26 S25 S24 S23
Parallel MCTS,Monte Carlo Beeline 3,Two,Normal,22,68534,69,S01 N27 G N32 S36 G N08 N25 G S34 N22 G N34 N30 G S33 N34+ G S35 S14 G N24,,N14 N31 N30 N29 N28 N27 N26 N25 N24 S34 S33 S15 S14
