Player One,Player Two,Winner,Termination,Total Moves,Total Milliseconds,Starting Tile Index,Transcript,Winning Path One,Winning Path Two
Monte Carlo Tree Search,Monte Carlo Tree Search,Two,Normal,21,67922,0,N07 S25 G N29 N32 G N16 S21 G N05 S23 G S07 S01 G S01+ S20 G N05 S07 G,,N27 N28 S38 S39 S40 S21 S06 S07 S01 S02 S10 S09 S25 S26 S27
Monte Carlo Beeline 4,Monte Carlo Beeline 4,One,Normal,25,100359,58,S31 N16 G N22 N33 G S26 S29 G S09 S13 G S11 S27 G N27 N37 G S38 S35 G S35+ N01 G S27,N31 N32 N33 N34 N35 N36 S26 S27 S11 S12 S13 S14 S31,
Monte Carlo Beeline 3,Monte Carlo Beeline 3,One,Normal,24,100393,70,S06 S19 G S08 S07 G N11 S02 G S22 N01 G S38 N30 G S39 N18 G N37 N38 G S20 S37 G,N37 N18 N19 N05 N01 N02 N10 N11 N27 N28 S38 S37,
Monte Carlo Tree Search,Parallel MCTS,One,Normal,21,116459,64,S19 S21 G S03 S07 G S26 S37 G S16 N18 G S35 N25 G N16 S01+ G S35+ N38 G,N19 N18 N37 N36 S26 S25 S09 S08 S07 S01 S05 S19,
Parallel MCTS Beeline,Monte Carlo Tree Search,Two,Normal,21,104861,49,N32 N05 G S27 S22 G S04 S01 G N40 S13 G S10 N11 G S25 S19 G N10 N13 G,,N27 N11 N12 N13 N03 N04 N05 N19 N20 N39 N38 S28 S27
Monte Carlo Beeline 3,Monte Carlo Beeline 4,Two,Normal,27,93526,30,N29 S22 G N02 S18 G S03 S38 G N14 N13 G N16 S12 G S36 S20 G N39 S39+ G S25 S37 G S30 S37 G,,N26 S36 S37 S38 S39 S40 S21 S22 S23 S24 S25 S26
Parallel MCTS,Monte Carlo Beeline 3,Two,Normal,21,106114,68,S07 N34 G S02 N12 G N31 N03 G S09 N39 G N16 S15 G S32 S04 G N38+ N07 G,,N33 N34 S24 S25 S09 S10 S02 S03 S13 S14 S15 S33
Monte Carlo Beeline 4,Monte Carlo Tree Search,Two,Normal,24,82810,15,N15 N01 G N29 N39 G S05 S06 G N17 S25 G N11 N10 G S24 S01+ G N34+ S08 G S08+ S07 G,,N08 N09 N10 N11 N12 N29 N30 S40 S21 S22 S23 S08
Monte Carlo Beeline 4,Parallel MCTS Beeline,One,Normal,27,135671,58,S31 S34 G N34 S24 G N01 N03 G S04 N10 G N12 S06 G N08 N06 G N11+ N21 G S40 N06+ G S19 N30 G,N12 N11 N10 N02 N01 N07 N06 N21 N40 S30 S29 S12,
Parallel MCTS,Parallel MCTS,Two,Normal,21,135781,41,N24 S29 G N30 N39 G N32 S07 G S22 S21 G N04 S22+ G S02 N31 G N07 S10 G,,N12 N29 N30 S40 S21 S06 S07 S01 S02 S10 S11 S12
Monte Carlo Beeline 3,Parallel MCTS,One,Normal,19,65369,54,S27 S35 G S22 N24 G S32 N09 G N34 N26 G S20 S36+ G N29 S30 G N25,N25 N24 N23 N22 S32 S31 S30 S29 S28 S27 S26 S25,
Monte Carlo Beeline 3,Parallel MCTS Beeline,Two,Normal,28,134038,1,N01 S36 G S05 N36 G S02 S01 G S09 S08 G S10 S27 G S24 S13 G S09 S10 G S02 S26 G S27 S30 G S27,,N27 N26 S36 S37 S18 S19 S05 S01 S02 S10 S11 S27
Monte Carlo Tree Search,Monte Carlo Beeline 3,One,Normal,31,107745,31,N31 N26 G S14 S11 G S08 S22 G S28 S30 G N07 N03 G N21 N10 G S32 N22 G N39 S32+ G N22 N23 G N34 N08+ G N23,N07 N08 N23 N22 S32 S31 S30 S29 S12 S11 S10 S02 S01 S07,
Monte Carlo Beeline 4,Parallel MCTS,Two,Normal,27,119700,1,N01 N29 G S23 S25 G S11 N15 G N37 N32 G N17 N18 G S31 S37 G N17 N35 G S35 S30 G N17 N33 G,,N39 N38 N37 N36 N35 N34 N33 N15 N14 N31 N30 S40 S39
Parallel MCTS Beeline,Monte Carlo Beeline 3,Two,Normal,27,89415,61,S04 N38 G N24 N04 G S31 N34 G N21 N36 G S26 N28 G N22 S39 G N26 S36 G S40 S37 G N26 N11 G,,S28 N38 N39 N20 N06 N07 N08 N09 N10 N11 N27 N28
Parallel MCTS,Monte Carlo Tree Search,Two,Normal,33,164602,41,N24 N25 G N22 N16 G S32 S39 G S23 N24 G N38 S28 G N06 N28 G N38+ S38+ G S27 N11 G S25 S30 G S05 S12 G S02 S09+ G,,N07 N06 N21 N40 S30 S29 S28 S27 S11 S10 S09 S08 S07
Parallel MCTS Beeline,Parallel MCTS Beeline,One,Normal,31,164984,37,S28 N24 G N01 N22 G S34 S36 G S26 S17 G N18 S15 G S03 S02 G S06 S21 G S34 N16 G S03 N14 G S02 N33 G N32,S32 N22 N21 N40 N39 N38 N37 N18 N17 N16 N15 N33 N32,
Parallel MCTS,Monte Carlo Beeline 4,Two,Normal,22,84130,74,S09 S13 G S18 S29 G N22 S23 G N25 N09 G S06 N12 G N28 N13 G N13+ N12+ G S12,,N12 N29 N28 S38 S37 S18 S19 S05 S04 S03 S13 S12
Monte Carlo Beeline 4,Monte Carlo Beeline 3,One,Normal,24,83988,77,S03 S34 G S12 S31 G N23 N22 G S40 S32 G S32+ S07 G S09 N02 G N07 N32 G S10 S29 G,N02 N10 N09 N08 N23 N22 S32 S31 S14 S13 S03 S02,
Parallel MCTS,Parallel MCTS Beeline,One,Normal,25,92429,57,N40 S34 G S03 N25 G S26 N06 G N23 N01 G N18 N08 G N10 N09+ G N10 N19 G N19 N16 G N05+,N09 N10 N02 N01 N05 N04 N16 N17 N35 N36 S26 S25 S09,
Monte Carlo Beeline 3,Monte Carlo Tree Search,Two,Normal,27,87905,54,S27 S32 G S01 N21 G N32 S24 G N17 N35 G N24 N23 G N17+ N03 G N07 N08 G N08+ N01 G S16 S04+ G,,N08 N23 N22 S32 S31 S14 S13 S03 S02 S01 S07 S08
Parallel MCTS Beeline,Parallel MCTS,Two,Normal,30,158221,37,S28 S21 G S13 N21 G N02 N10 G N23 S02 G N07 S10 G S10+ S08 G S10 S09+ G S12 S11 G S10 S12+ G S11 S23 G,,N11 N27 N26 N25 N24 S34 S33 S15 S14 S13 S12 S11
Parallel MCTS Beeline,Monte Carlo Beeline 4,One,Normal,37,182936,41,N24 S38 G S04 N28 G N33 S29 G N39 S19 G S13 N03 G N12 N05 G S10 N07 G N04+ N28 G S01 S08 G S12 N01 G N01 S02 G S06 S03 G N07,N14 N15 N16 N04 N05 N01 N07 N08 N23 N22 S32 S31 S14,
Monte Carlo Tree Search,Monte Carlo Beeline 4,One,Normal,30,100260,75,S11 S17 G S06 S22 G S32 S24 G S08 N35 G N24 N37 G N09 N25 G N27 S30 G S14 N36 G N15 N13 G S39+ N03 G,N14 N15 N16 N17 N35 N36 S26 S27 S11 S12 S13 S14,
Monte Carlo Tree Search,Parallel MCTS Beeline,One,Normal,30,101537,75,S11 N22 G S17 N19 G S20 S39 G N38 S37 G N28 S01 G N06 S04 G S07 N36 G S18 S26+ G N35 N14 G S04 N31 G,N03 N04 N16 N17 N35 N36 S26 S27 S11 S12 S13 S03,
Monte Carlo Beeline 4,Monte Carlo Tree Search,Two,Normal,21,68628,58,S31 N18 G S09 N05 G S18 N40 G N07 N06 G S21 N07+ G N06 N29 G S26 N34 G,,N07 N06 N21 N40 N39 N38 N37 N36 N35 N34 S24 S23 S08 S07
Monte Carlo Beeline 4,Monte Carlo Beeline 3,Two,Normal,18,61809,68,S07 N10 G S30 S28 G N14 N22 G S13 S03 G S29 N30 G N29 S38 G,,N30 N29 N12 N11 N10 N09 N08 N23 N22 S32 S31 S30
Monte Carlo Tree Search,Monte Carlo Beeline 3,One,Normal,21,76844,26,N25 S13 G S22 N32 G N29 N34 G S33 N40 G N06 N07 G N22 N21 G N16 S01 G,N30 N29 N28 N27 N26 N25 N24 N23 N22 N21 N40 S30,
Monte Carlo Beeline 4,Monte Carlo Beeline 4,Two,Normal,27,90579,58,S31 N40 G S10 S28 G N18 S12 G N33 S01 G N12 S30 G N05 N04 G S29 N08 G S29 S13 G N07 N22 G,,N09 N08 N23 N22 N21 N40 S30 S29 S12 S11 S10 S09
Monte Carlo Beeline 3,Monte Carlo Beeline 4,One,Normal,30,96879,10,N14 N40 G S34 N22 G N07 N01 G S11 N38 G S39 N09 G S17 N25 G S06 S21 G N36 S19 G N39 S13 G N36 S27 G,N38 N37 N18 N17 N16 N15 N14 N13 N12 N29 N28 S38,
Parallel MCTS Beeline,Monte Carlo Beeline 3,Two,Normal,18,101867,34,N33 S06 G S26 N03 G N26 S30 G S24 S23 G S34 S09 G S28 N22 G,,S40 S21 S06 S07 S08 S09 S25 S26 S27 S28 S29 S30 N40
Monte Carlo Tree Search,Monte Carlo Beeline 4,Two,Normal,22,71547,60,S16 S05 G S12 S20 G N21 S18 G N37 S03 G N02 S10 G S28 S27 G S02 S19+ G S02,,N18 N37 N38 S28 S27 S11 S10 S02 S01 S05 S19 S18
Parallel MCTS Beeline,Monte Carlo Tree Search,Two,Normal,18,105852,8,N13 S26 G S21 N03 G N39 S38 G S08 S40 G S40 S20 G S06+ S23 G,,S28 S27 S26 S25 S09 S08 S07 S06 S20 S39 S38 N28
Monte Carlo Tree Search,Monte Carlo Tree Search,Two,Normal,34,110532,26,N25 N24 G N10 N09 G N22 N24+ G N40 N12 G S29 N23+ G N36 S32 G S23 N27 G S10 S27 G S37 S25 G N01+ N26 G N33 S32 G S26,,N10 N02 N01 N07 N06 N20 N39 N38 N37 N36 S26 S25 S09 S10
Parallel MCTS Beeline,Parallel MCTS,One,Normal,18,110570,24,N26 N17 G S39 S19 G N07 S04 G S07 N38 G N20 S28 G N12 S20 G,N20 N06 N07 N08 N09 N25 N26 S36 S37 S18 S19 S20,
Parallel MCTS,Monte Carlo Beeline 4,Two,Normal,22,111639,70,S06 S12 G S17 N16 G N07 S38 G S04 S15 G S36 S16+ G S29+ S36+ G S37 S28+ G S37,,N38 S28 S29 S12 S13 S03 S04 S16 S17 S18 S37 S38
Monte Carlo Beeline 3,Monte Carlo Tree Search,Two,Normal,33,115355,20,N22 S17 G N08 S36 G S34 N27 G N37 N38 G S38 N28 G S39 N39 G S38 S37 G S13 S07 G S05 N15 G N16 S05 G S11 S15 G,,N18 N17 N16 N04 N03 N13 N12 N29 N28 S38 S37 S18
Monte Carlo Tree Search,Parallel MCTS Beeline,One,Normal,19,84079,60,S16 N06 G N11 N30 G S38 N32 G S30 N14 G S12 N38 G N31 S26 G N31,N14 N31 N30 S40 S39 S38 S37 S18 S17 S16 S15 S14,
Monte Carlo Beeline 3,Parallel MCTS,Two,Normal,21,120091,20,N22 S05 G N10 S38 G S35 S36 G S18 S37 G N18 S36+ G N38 N27 G N25 N26+ G,,N01 N02 N10 N09 N25 N26 S36 S37 S18 S19 S05 S01
