Player One,Player Two,Winner,Termination,Total Moves,Total Milliseconds,Starting Tile Index,Transcript,Winning Path One,Winning Path Two
Monte Carlo Beeline 4,Monte Carlo Beeline 4,One,Normal,30,102307,11,N12 N13 G S21 N04 G N12+ S11 G N40 S29 G N37 N38 G S36 S37 G S37+ S18 G S08 N38 G N38 S14 G S09+ S31 G,N38 N37 N18 N19 N05 N01 N02 N10 N11 N27 N28 S38,
Monte Carlo Beeline 3,Monte Carlo Beeline 3,One,Normal,31,104074,24,N26 S04 G S39 S19 G S07 S37 G N16 N36 G N30 S09 G N40 S31 G S29 N12 G S24 N34 G N32 S28 G S28 N29 G N28,N26 N27 N28 N29 N30 N31 N32 N33 N34 N35 N36 S26,
Monte Carlo Beeline 4,Parallel MCTS Beeline,One,Normal,18,108875,11,N12 N16 G S31 N20 G N08 N03 G S02 S21 G N18 S03 G S25 S17 G,N06 N07 N08 N09 N10 N11 N12 N29 N30 S40 S21 S06,
Parallel MCTS Beeline,Monte Carlo Beeline 4,Two,Normal,21,108892,11,N12 N13 G S08 S27 G S10 S02 G N31 S07 G N32 N07 G N39 S21 G S32 N08 G,,N08 N07 N01 N02 N03 N13 N14 N31 N32 S22 S23 S08
Monte Carlo Tree Search,Monte Carlo Tree Search,Two,Normal,28,98053,51,S21 N33 G S10 S24 G N37 N36 G S26 S03 G N13 S14 G S13 S12 G S12+ S11+ G S12 N34 G N17 N10 G N34,,N14 N15 N33 N34 N35 N36 S26 S27 S11 S12 S13 S14
Monte Carlo Beeline 3,Parallel MCTS Beeline,One,Normal,21,93439,39,N39 S17 G S24 S04 G N04 N17 G S21 S22 G S29 S20 G S28 S08 G S22 N14 G,N03 N04 N05 N19 N20 N39 N38 S28 S29 S12 S13 S03,
Monte Carlo Beeline 3,Monte Carlo Beeline 4,Two,Normal,28,99371,77,S03 N05 G S12 S11 G S35 S16 G S22 S14 G N15 N35 G S33 N06 G N23 N07+ G N07+ S24 G N06 S30+ G N34+,,S40 S21 S22 N32 N33 N34 N35 N17 N18 N19 N20 N39 N40
Monte Carlo Tree Search,Parallel MCTS,One,Normal,21,124974,51,S21 S23 G N02 N15 G N18 N17 G N24 N18+ G S16 S22 G S34 S27 G S29 N10+ G,N20 N19 N18 N17 N16 N15 N14 N31 N30 S40 S39 S20,
Monte Carlo Beeline 4,Monte Carlo Tree Search,Two,Normal,27,93788,30,N29 N25 G N04 N16 G N38 N37 G N04+ N02 G S01 N06 G N36+ N07 G N07+ N06+ G S21 S23 G S02+ S26+ G,,N26 N25 N09 N08 N07 N06 N20 N19 N18 N37 N36 S26
Parallel MCTS,Monte Carlo Tree Search,Two,Normal,21,137761,51,S21 S29 G S34 N29 G S13 S07 G S25 S36 G S32 N06 G S15 N22 G N08 S33+ G,,N07 N06 N21 N40 S30 S29 S28 S27 S26 S25 S09 S08 S07
Monte Carlo Tree Search,Monte Carlo Beeline 3,Two,Normal,28,93260,31,N31 S34 G N20 N23 G N02 S22 G N13 S31 G N14+ N09 G S06 N08+ G S25 S32 G S32 N34 G N09+ N32 G S19,,S32 S33 S34 S35 S17 S18 S19 S20 S06 S21 S22 N32
Parallel MCTS Beeline,Monte Carlo Beeline 3,Two,Normal,22,90251,37,S28 N14 G N05 N29 G S30 N24 G S21 S06 G N08 N21 G N09 N10 G N06 S23 G N06,,N22 N21 N06 N20 N19 N05 N04 N16 N15 N33 N32 S22
Parallel MCTS,Parallel MCTS,One,Normal,25,149690,51,S21 N15 G N34 S04 G N25 S13 G N39 S24 G S34 S17 G S38 S16+ G S30 S33 G S28 S35+ G S17,N23 N24 S34 S35 S17 S16 S04 S05 S19 S20 S06 S21 S22 S23,
Monte Carlo Beeline 4,Parallel MCTS,Two,Normal,24,121216,33,S24 N18 G S15 N16 G N05 N35 G N14 N15 G N39 N38 G S29 S17 G S35 S19 G S17 N01+ G,,N17 N18 N37 N38 S28 S29 S30 S31 S14 S15 S16 S17
Monte Carlo Beeline 3,Parallel MCTS,Two,Normal,18,61295,75,S11 N01 G N12 S35 G S04 S26 G S21 N25 G S07 N08 G N30 N19 G,,N06 N07 N01 N02 N10 N11 N12 N29 N30 S40 S21 S06
Parallel MCTS Beeline,Parallel MCTS Beeline,Two,Normal,28,159015,51,S21 S02 G N04 S09 G N14 S23 G N34 N08 G S27 S30 G N29 S14 G S18 S08 G S24 S07 G N13 S12 G S07,,N02 N03 N04 N16 N17 N35 N34 S24 S23 S08 S07 S01 S02
