Player One,Player Two,Winner,Termination,Total Moves,Total Milliseconds,Starting Tile Index,Transcript,Winning Path One,Winning Path Two
Monte Carlo Beeline 3,Monte Carlo Beeline 3,Two,Normal,24,82148,17,N05 N36 G N20 S08 G N32 N31 G N15 N17 G N26 N34 G S34 N32 G S32 S11 G N33 S13 G,,S40 N30 N31 N14 N15 N33 N34 N35 N36 N37 N38 N39 N40
Monte Carlo Beeline 4,Monte Carlo Beeline 4,Two,Normal,27,95089,22,N21 S34 G N05 S05 G N35 S20 G S24 S06 G N33 S13 G N38 N08 G S29 S12 G S27 S29+ G S12 S21 G,,N25 N26 S36 S37 S38 S39 S40 S21 S22 S23 S24 S25
Monte Carlo Tree Search,Monte Carlo Tree Search,One,Normal,27,95617,5,N02 N27 G S32 S34 G S22 N09 G N33 N23 G N35 S17 G N18 S37 G N16 S18 G S18+ N34 G N04+ N31 G,N08 N07 N01 N05 N04 N16 N17 N35 N34 S24 S23 S08,
Monte Carlo Tree Search,Parallel MCTS,One,Normal,18,106924,54,S27 N23 G S34 S05 G N17 S40 G S21 S03 G N36 N32 G S18 N33 G,N16 N17 N35 N36 S26 S27 S11 S10 S02 S03 S04 S16,
Monte Carlo Tree Search,Monte Carlo Beeline 3,One,Normal,18,59087,35,N35 S30 G S09 S12 G S38 N16 G S14 S22 G S21 N19 G S40 S20 G,N37 N36 N35 N34 S24 S23 S22 S21 S06 S20 S39 S38 S37,
Monte Carlo Beeline 4,Parallel MCTS Beeline,One,Normal,21,121314,8,N13 N26 G N03 S03 G S39 S06 G N22 S18 G N29 N16 G N04 S40+ G S20 N40 G,N13 N14 N31 N30 S40 S39 S20 S19 S05 S04 S03 S13,
Monte Carlo Beeline 4,Parallel MCTS,Two,Normal,16,82637,40,S34 N22 G S02 N01 G S21 S14 G N08 S30 G S09 N10 G N23+,,N10 N09 N08 N23 N22 S32 S31 S14 S13 S03 S02 S10
Parallel MCTS Beeline,Monte Carlo Beeline 4,Two,Normal,21,125304,24,N26 S37 G S33 N01 G N08 N14 G S40 S15 G N36 S26 G N18 N28 G S27 N38 G,,N31 N30 S40 S39 S38 S37 S18 S17 S35 S34 S33 S32 S31
Parallel MCTS,Monte Carlo Tree Search,Two,Normal,22,133404,24,N26 N22 G S05 N38 G S07 N01 G S15 N10 G N05 N03 G N18 S40 G N02 N04 G N04+,,N03 N04 N05 N01 N07 N08 N23 N22 S32 S33 S15 S16 S04 S03
Monte Carlo Beeline 4,Monte Carlo Tree Search,Two,Normal,27,87677,42,S35 S09 G N39 S28 G N17 S14 G N04 S03 G S30 S12 G N40+ S30+ G S31 N31 G N13 N14 G S33 N27 G,,N07 N01 N02 N03 N13 N14 N31 N32 S22 S23 S08 S07
Parallel MCTS Beeline,Parallel MCTS Beeline,Two,Normal,22,145345,24,N26 S30 G N17 S39 G N16 N06 G S07 S01 G S23 S16 G S22 S10 G S15 N01 G S15,,N17 N18 N19 N20 N39 N40 S30 S31 S14 S15 S16 S17
Parallel MCTS,Parallel MCTS,Two,Normal,21,145386,56,S30 S25 G S17 N22 G N29 N02 G S06 S36 G N35 S34 G N25 N26 G N33 N25+ G,,S24 S23 S08 S07 S06 S20 S19 S18 S17 S35 S34 N24
Parallel MCTS,Monte Carlo Beeline 3,Two,Normal,27,123590,2,N08 N33 G S28 N02 G S31 S14 G N11 N01 G S06 N13 G N37 N17 G S17 S35 G S38 N13 G N03 S37 G,,N11 N12 N29 N30 N31 N32 S22 S23 S24 S25 S26 S27 S11
Monte Carlo Beeline 3,Monte Carlo Tree Search,Two,Normal,21,67025,28,N30 N36 G N01 S25 G S16 N26 G N10 N18 G S28 N16 G N37+ N18 G N04 N05+ G,,S36 N26 N25 N09 N10 N02 N03 N04 N16 N17 N35 N36
Monte Carlo Tree Search,Parallel MCTS Beeline,One,Normal,18,54927,52,S26 S37 G N10 N02 G N40 S02 G N14 S22 G S28 N34 G S24 S08 G,N21 N40 S30 S29 S28 S27 S26 S25 S09 S08 S23 S22 S21,
Parallel MCTS Beeline,Monte Carlo Beeline 3,One,Normal,25,105106,54,S27 S20 G N13 N18 G N08 N07 G N02 N29 G N31 N15 G N32 S22 G S16 N27 G S24 S08 G S09,N29 N30 N31 N32 S22 S23 S08 S09 S10 S11 S12 S29,
