Player One,Player Two,Winner,Termination,Total Moves,Total Milliseconds,Starting Tile Index,Transcript,Winning Path One,Winning Path Two
Monte Carlo Tree Search,Monte Carlo Tree Search,Two,Normal,21,63814,19,N18 N03 G N21 N07 G N10 N20 G N05 N14 G S13 N12 G N30 N31 G N14 S29 G,,N29 N12 N13 N03 N04 N05 N19 N20 N39 N40 S30 S29
Monte Carlo Beeline 4,Monte Carlo Beeline 4,One,Normal,25,93924,36,N38 S29 G N20 N05 G S06 N18 G S34 N21 G N32 N33 G N13 N14 G N32+ N15 G N40 N14+ G N13,N07 N01 N02 N03 N13 N14 N31 N30 S40 S21 S06 S07,
Monte Carlo Beeline 3,Monte Carlo Beeline 3,Two,Normal,28,98780,18,N20 N16 G N07 N10 G N03 S07 G N05 S23 G N23 N32 G S21 S22 G N30 S27 G N28 S22 G S26 S10 G S26,,N05 N04 N16 N17 N35 N36 S26 S27 S11 S10 S02 S01 S05
Monte Carlo Beeline 3,Monte Carlo Beeline 4,Two,Normal,22,75523,2,N08 N14 G N36 N35 G N03 S24 G S13 N30 G S22 N28 G N34 S11 G S15 S02 G S10,,N14 N15 N33 N34 S24 S25 S09 S10 S02 S03 S13 S14
Parallel MCTS Beeline,Monte Carlo Beeline 4,Two,Normal,21,115432,8,N13 S11 G S16 N16 G N18 S36 G N30 S19 G S14 S26 G N40 S13 G N28 N26+ G,,N26 S36 S35 S17 S16 S04 S03 S02 S10 S09 S25 S26
Monte Carlo Beeline 4,Monte Carlo Tree Search,One,Normal,21,68287,59,S29 S28 G N22 N39 G N16 S13 G S40 S31 G N14 N21+ G N28 N40+ G N05 S38 G,N14 N15 N16 N04 N05 N19 N20 N39 N40 S30 S31 S14,
Monte Carlo Beeline 4,Parallel MCTS Beeline,One,Normal,18,122833,66,S18 N32 G N37 N38 G N09 N05 G N04 S07 G N22 S10 G S26 N26 G,N08 N09 N25 N26 S36 S37 S18 S19 S05 S01 S07 S08,
Parallel MCTS,Monte Carlo Tree Search,Two,Normal,21,122866,8,N13 N12 G N07 N03 G S10 S24 G N18 S02 G N10 N16 G S20 N39 G S21 N34+ G,,N23 N08 N07 N06 N20 N19 N18 N17 N35 N34 S24 S23
Monte Carlo Tree Search,Monte Carlo Beeline 3,One,Normal,24,82883,35,N35 N37 G S24 S25 G S03 N16 G S17 N33 G S15 S10 G N02 S09+ G N09 S24 G S11 S25+ G,N33 N34 N35 N36 S26 S25 S09 S10 S02 S03 S13 S14 S15 S33,
Parallel MCTS,Monte Carlo Beeline 3,Two,Normal,21,109893,59,S29 S04 G N07 S19 G N39 S25 G S33 S14 G N22 N24 G S11 S15 G N16 S15 G,,N02 N01 N07 N08 N23 N24 S34 S33 S15 S16 S04 S03 S02
Monte Carlo Tree Search,Parallel MCTS,One,Normal,30,142119,2,N08 N03 G N19 N12 G S31 S18 G N17 S38 G S21 S11 G N26 S02 G N38 N10 G S07 S09 G S06+ S04 G N10 S13+ G,N08 N23 N22 S32 S31 S14 S13 S03 S02 S10 S09 S08,
Parallel MCTS,Parallel MCTS,Two,Normal,21,149046,49,N32 N13 G N25 S05 G S29 S13 G S33 S15 G N17 S31 G S33+ S15 G S15+ S14+ G,,N13 N03 N02 N10 N09 N08 N23 N22 S32 S31 S14 S13
