Player One,Player Two,Winner,Termination,Total Moves,Total Milliseconds,Starting Tile Index,Transcript,Winning Path One,Winning Path Two
Monte Carlo Tree Search,Parallel MCTS,One,Normal,18,83876,23,N23 N40 G S19 S13 G N02 N11 G S28 S33 G S21 S08 G N17 N29 G,N03 N02 N01 N07 N08 N23 N24 S34 S33 S15 S14 S13 S03,
Monte Carlo Tree Search,Monte Carlo Tree Search,Two,Normal,22,75586,38,N37 N40 G N02 S13 G N13 S11 G N29 S28 G N11 N39+ G S12 S09 G N27 N10+ G S29,,N10 N02 N01 N07 N06 N21 N40 S30 S29 S12 S11 S10
Monte Carlo Beeline 3,Monte Carlo Beeline 3,Two,Normal,28,100139,68,S07 N15 G S11 S13 G S30 N21 G S40 S20 G N39 N11 G N40 N07 G N19 S39 G N35 N36 G S25 S36 G N36,,N10 N11 N12 N13 N03 N04 N16 N17 N35 N36 S26 S27 S11 S10
Monte Carlo Beeline 4,Monte Carlo Beeline 4,Two,Normal,28,102016,0,N07 S06 G S29 S30 G N29 N31 G S14 S13 G S16 S15 G N17 S29 G S18 S30 G S29 N37 G S35 S19+ G S18,,N18 N17 N16 N15 N33 N32 S22 S21 S06 S20 S19 S18
Monte Carlo Beeline 3,Monte Carlo Beeline 4,One,Normal,24,81078,57,N40 S34 G S13 S15 G N35 S04 G N33 N15 G S18 S14 G S21 N18 G N31 S16 G S31 N30 G,N30 N31 N14 N15 N16 N17 N18 N19 N20 N39 N40 S30,
Monte Carlo Tree Search,Monte Carlo Beeline 3,One,Normal,25,77182,63,S17 S28 G N01 N02 G S08 S04 G N33 S19 G N35 S01 G S06 N16 G N27 N20 G N04 S13 G N04,N17 N16 N04 N03 N02 N10 N11 N27 N26 S36 S35 S17,
Parallel MCTS Beeline,Parallel MCTS Beeline,Two,Normal,21,132655,52,S26 N01 G S33 N11 G N35 S15 G S05 S11 G N22 N24 G N08 N23 G N14 N33 G,,N01 N07 N08 N23 N24 S34 S35 S17 S16 S04 S05 S01
Monte Carlo Tree Search,Monte Carlo Beeline 4,Two,Normal,16,51099,57,N40 S37 G N05 N10 G N31 N13 G N29 N16 G N18 S18+ G S38+,,N19 N05 N04 N03 N13 N12 N29 N28 S38 S37 S18 S19
Monte Carlo Beeline 4,Monte Carlo Tree Search,Two,Normal,28,92903,20,N22 S32 G N38 S34 G S20 S17 G S36 N36 G N28 N18 G S15 S30 G S29 S30 G N20+ N40 G S29 N11 G S29,,N18 N37 N38 S28 S29 S30 S31 S14 S15 S16 S17 S18
Monte Carlo Beeline 3,Parallel MCTS Beeline,One,Normal,27,114768,26,N25 N20 G N05 S13 G S23 N38 G S08 S19 G S02 S10 G N11 N10 G N29 S25 G S10 N36 G S06 S11 G,N12 N11 N10 N09 N25 N24 S34 S33 S15 S14 S13 S12,
