Player One,Player Two,Winner,Termination,Total Moves,Total Milliseconds,Starting Tile Index,Transcript,Winning Path One,Winning Path Two
Monte Carlo Beeline 4,Monte Carlo Beeline 4,Two,Normal,22,79466,20,N22 S33 G N08 N01 G S10 N06 G S38 N24 G N37 N18 G N11 S20 G S30 N11+ G N39,,N39 N20 N06 N07 N08 N09 N10 N11 N27 N28 S38 S39
Monte Carlo Tree Search,Monte Carlo Tree Search,Two,Normal,22,83576,59,S29 N38 G S09 N36 G N14 S27 G S20 S07 G N08 S04 G S22 S02 G S23 S03 G S03+,,N20 N39 N38 S28 S27 S11 S10 S02 S03 S04 S05 S19 S20
Parallel MCTS,Monte Carlo Beeline 3,Two,Normal,18,95136,7,N09 S18 G S23 S26 G N11 N35 G S07 N40 G N25+ S34 G N07 S28 G,,N17 N35 N34 S24 S23 S08 S07 S01 S05 S19 S18 S17
Parallel MCTS,Monte Carlo Tree Search,Two,Normal,21,115135,51,S21 S37 G N13 S17 G S39 N34 G S01 S39+ G N37 S09 G S07 N38 G N18 N16 G,,N02 N03 N13 N14 N15 N33 N34 S24 S25 S09 S10 S02
Parallel MCTS Beeline,Monte Carlo Beeline 4,Two,Normal,21,115201,51,S21 N03 G N36 S03 G S30 S01 G S10 N39 G S31 S19 G S25 S18 G S38 S34 G,,N01 N05 N04 N16 N17 N35 N34 S24 S25 S09 S10 S02 S01
Monte Carlo Beeline 3,Monte Carlo Beeline 4,One,Normal,25,88952,17,N05 N38 G S32 N32 G S37 S19 G S21 S22 G S08 N15 G N08 S39 G S11 S20+ G N14 N35 G S40,N35 N34 S24 S23 S22 N32 N31 N30 S40 S39 S38 S37 S36 S35,
Monte Carlo Beeline 4,Monte Carlo Tree Search,One,Normal,25,86431,8,N13 N31 G N04 N16 G S28 N04+ G S36 N15 G N35 N36 G S24 N18 G N38+ S12 G N37 N14+ G N37,N11 N12 N13 N14 N15 N16 N17 N18 N37 N38 S28 S27 S11,
Parallel MCTS Beeline,Parallel MCTS Beeline,Two,Normal,22,130468,11,N12 N16 G N05 S14 G S32 N06 G S01 S40 G S23 N09 G N26 S37 G S34 N36 G S36,,S36 N26 N25 N09 N08 N07 N01 N05 N19 N18 N17 N35 N36
Parallel MCTS Beeline,Monte Carlo Tree Search,Two,Normal,27,120251,59,S29 N13 G S08 N17 G N08 N25 G S15 N31 G S24 N14+ G N33 S13 G S04 N24+ G N04 N27 G N27 N09 G,,N15 N14 N13 N03 N02 N10 N09 N25 N24 S34 S33 S15
Monte Carlo Beeline 3,Monte Carlo Beeline 3,One,Normal,37,138689,64,S19 N14 G S25 S24 G S31 S14 G N35 N36 G S12 S35 G S38 N26 G S26 S25 G N10 N02 G S24 N24 G S13 S36 G N25 S10 G S25 S03+ G S13,N26 S36 S37 S18 S19 S05 S04 S03 S13 S12 S11 S27 S26,
Monte Carlo Beeline 4,Parallel MCTS Beeline,One,Normal,27,139213,20,N22 N12 G S22 S11 G N03 N31 G N08 N09 G S33 N05 G N36 N37 G N09 S09 G N04 N16 G S35 N17 G,N10 N09 N25 N24 S34 S33 S15 S14 S13 S12 S11 S10,
Parallel MCTS Beeline,Parallel MCTS,One,Normal,24,132082,65,S05 S37 G S01 N02 G S17 S30 G N37 N32 G S21 S34 G S06 S07 G S32 N14 G S33+ N15 G,N15 N33 N32 S22 S23 S08 S07 S01 S05 S04 S16 S15,
Monte Carlo Beeline 4,Monte Carlo Beeline 3,One,Normal,19,66241,24,N26 S16 G S39 N39 G N32 N31 G N04 N22 G N38+ N06 G N21 N25+ G N40+,S28 N38 N39 N40 N21 N22 N23 N24 N25 N26 N27 N28,
Parallel MCTS,Parallel MCTS,One,Normal,25,148799,51,S21 N07 G N18 S26 G N24 N39 G S28 S14 G N11 N26 G S10 S18 G N10 S17 G S04 S35 G S35+,S24 S23 S22 S21 S06 S20 S19 S18 S17 S35 S34 N24,
Parallel MCTS Beeline,Monte Carlo Beeline 3,Two,Normal,22,102038,52,S26 N05 G N33 N20 G S07 S09 G S13 S35 G N23 N07 G N21 S23 G S24 S21 G N06,,N21 N06 N07 N01 N05 N04 N16 N15 N33 N32 S22 S21
Monte Carlo Beeline 4,Parallel MCTS,One,Normal,25,119938,46,S39 S29 G N36 S31 G S17 N28 G N22 N40 G N33 S15 G S15+ S33 G S33 N24 G S34 N04 G S33+,S40 S39 S20 S19 S18 S17 S35 S34 S33 S32 S31 S30 N40,
Monte Carlo Beeline 3,Monte Carlo Tree Search,Two,Normal,22,75707,9,N03 S07 G S15 S05 G S39 S20 G S37 S24 G N39 N25 G N21 S19 G S38 S20+ G S19,,N09 N25 N26 S36 S37 S18 S19 S20 S06 S07 S08 S09
Parallel MCTS,Parallel MCTS Beeline,One,Normal,21,105686,72,S10 S09 G N17 N18 G S10+ N38 G N23 N36 G N07 N18 G N28 N19+ G N18 S05 G,N01 N05 N19 N18 N37 N36 S26 S27 S11 S10 S02 S01,
Monte Carlo Beeline 3,Parallel MCTS,Two,Normal,21,82435,21,S32 N34 G S20 N02 G S18 N19 G S22 N17 G N08 N35+ G N17 S21 G S21 S08 G,,N20 N19 N18 N17 N35 N34 S24 S23 S08 S07 S06 S20
Monte Carlo Beeline 3,Parallel MCTS Beeline,One,Normal,31,142539,74,S09 S35 G N25 S40 G N04 S23 G S24 N16 G S07 S06 G S27 S19 G S03 S25 G S20 N38 G S32 S20 G N39 S30 G S38,N38 N37 N18 N17 N16 N15 N14 N31 N30 S40 S39 S38,
Monte Carlo Tree Search,Monte Carlo Beeline 4,One,Normal,25,83466,19,N18 N05 G N40 N06 G N23 N20 G S16 N39 G N20 S26 G N33 S36 G S32 N07 G N21 N39+ G N07,N35 N17 N18 N19 N20 N06 N07 N08 N23 N24 S34 S35,
Monte Carlo Tree Search,Monte Carlo Beeline 3,One,Normal,36,124906,58,S31 N23 G N39 N20 G S24 S15 G S01 N09 G S35 N32 G N17 S40 G N36 S33 G N07 N08 G N33 S38 G S11 N29 G N37 N08 G N07 S22+ G,N09 N10 N11 N12 N29 N30 S40 S21 S22 S23 S08 S09,
Monte Carlo Tree Search,Parallel MCTS,One,Normal,37,171190,72,S10 S17 G S02 S39 G S34 N06 G N33 N40 G S07 N23 G S13 N05 G S29 S06 G S22 S21+ G N38 S06 G S22 S19 G N36 S05 G N19 N18 G S06,N12 N29 N30 S40 S21 S06 S07 S08 S09 S10 S11 S12,
Parallel MCTS,Monte Carlo Beeline 4,One,Normal,27,102830,33,S24 N33 G N37 S31 G N31 S11 G S05 S02 G S29 S21 G N32 S20 G N06 S10 G S01 N02 G N02+ N08 G,N03 N02 N01 N07 N06 N21 N22 S32 S31 S14 S13 S03,
