Player One,Player Two,Winner,Termination,Total Moves,Total Milliseconds,Starting Tile Index,Transcript,Winning Path One,Winning Path Two
Monte Carlo Beeline 3,Monte Carlo Beeline 3,One,Normal,24,173449,3,N06 N15 G N28 N29 G N04 S40 G S29 S31 G S13 S03 G S15 N30 G S19 S17 G S03 S30 G,N30 N29 N12 N13 N03 N04 N05 N19 N20 N39 N40 S30,
Monte Carlo Beeline 4,Monte Carlo Beeline 4,One,Normal,25,184666,78,S12 S13 G N39 N40 G S07 S25 G S40 N40+ G S10 S12 G N06 N29 G S20 S39+ G S22 N06 G S12,N06 N21 N40 S30 S29 S12 S11 S10 S02 S01 S07 S06,
Parallel MCTS,Monte Carlo Tree Search,Two,Normal,21,202245,33,S24 N34 G S28 S06 G S35 N24 G S32 S12 G S11 N40 G N26 N34 G S34 N16 G,,S32 N22 N21 N40 N39 N38 N37 N36 N35 N17 N16 N15 N33 N32
Monte Carlo Tree Search,Monte Carlo Tree Search,Two,Normal,28,194467,11,N12 N30 G N16 S39 G N05 N28 G S36 N33 G S31 N15+ G S24 N33+ G N14 S21 G S24+ S40 G S40+ S21+ G S40,,N25 N26 N27 N28 N29 N30 S40 S21 S22 S23 S24 S25
Monte Carlo Tree Search,Monte Carlo Beeline 3,Two,Normal,22,155674,58,S31 S02 G N38 S27 G S09 S29 G S13 N18 G S39 S07 G N06 S30 G S35 N23 G S12,,N06 N20 N39 N38 S28 S29 S12 S13 S03 S02 S01 S07 S06
Monte Carlo Beeline 4,Monte Carlo Tree Search,Two,Normal,24,170394,64,S19 N08 G N38 S26 G N15 S11 G S06 N11 G S02 N13 G N02 N14+ G N14+ N03 G S10 N33+ G,,N10 N02 N01 N07 N06 N20 N39 N38 S28 S27 S11 S10
Monte Carlo Beeline 4,Parallel MCTS Beeline,One,Normal,21,223858,78,S12 S08 G S38 S36 G N10 N33 G N06 S33 G S14 S15 G S31 N02+ G S35+ N16 G,N11 N10 N09 N25 N26 S36 S35 S34 S33 S15 S14 S13 S12 S11,
Parallel MCTS Beeline,Monte Carlo Beeline 4,Two,Normal,24,223957,33,S24 N23 G N04 N09 G N14 S22 G N33 S26 G S34 S27 G S01 S04 G N15 S15 G N15 S17 G,,N01 N05 N04 N16 N15 N33 N32 S22 S21 S06 S07 S01
Monte Carlo Beeline 3,Monte Carlo Beeline 4,Two,Normal,28,199846,48,S22 N31 G N37 N17 G N01 N22 G N34 S35 G N32 S18 G N24 N40 G N26 N11 G N15 S24 G S11 N40 G N15+,,S28 N38 N37 N36 N35 N34 N33 N15 N14 N13 N12 N29 N28
Monte Carlo Beeline 4,Parallel MCTS,One,Normal,18,189650,32,N34 S07 G S17 S28 G S32 N31 G S34 N32 G S31 S22 G S13 S26 G,S32 S31 S30 S29 S28 S27 S26 N36 N35 N34 N33 N32,
Monte Carlo Tree Search,Monte Carlo Beeline 4,One,Normal,18,126784,75,S11 S35 G N30 N31 G S23 S13 G S30 N12 G N13 N38 G S09 S25 G,N11 N12 N13 N14 N31 N32 S22 S23 S24 S25 S26 S27 S11,
Parallel MCTS,Monte Carlo Beeline 3,One,Normal,24,232314,14,N17 N04 G N32 S18 G N21 S09 G S08 S35 G S03 S01 G N15 N14 G N14+ N24 G S28 S34+ G,N20 N06 N21 N22 S32 S33 S34 S35 S17 S18 S19 S20,
Parallel MCTS,Parallel MCTS,Two,Normal,24,263214,33,S24 N33 G N15 S03 G N03 S37 G S34 N35 G S32 S33 G N30 S32+ G S22 S14 G N17 S26+ G,,N17 N16 N15 N14 N31 N30 S40 S39 S38 S37 S18 S17
Monte Carlo Tree Search,Parallel MCTS,Two,Normal,28,263353,67,S20 S34 G S05 N25 G S09 N10 G S07 N22 G N27 N28 G N40 S37 G N20 S22 G N32 S23 G N07 N06 G S23,,N33 N32 S22 S23 S08 S07 S01 S05 S04 S16 S15 S33
Parallel MCTS Beeline,Parallel MCTS,One,Normal,24,257877,71,S08 N07 G S17 N27 G S18 S20 G N03 N23 G N30 N32 G S32 S40 G S21 N29 G N29 S39 G,N25 N26 N27 N28 S38 S39 S40 S21 S22 S23 S24 S25,
Parallel MCTS Beeline,Monte Carlo Beeline 3,Two,Normal,22,189135,79,S14 S26 G S05 N15 G N28 N26 G N39 S07 G S18 S02 G S17 N19 G S37 N30 G S19,,N20 N39 N38 S28 S27 S11 S10 S02 S01 S05 S19 S20
Monte Carlo Beeline 3,Parallel MCTS Beeline,One,Normal,31,261181,35,N35 N23 G S10 S32 G N40 N14 G S22 S08 G S04 N38 G N01 N02 G N10 N05 G N06 N19 G S20 S19 G S01 S06 G S01,N17 N35 N34 S24 S23 S08 S07 S01 S05 S04 S16 S17,
Monte Carlo Beeline 3,Parallel MCTS,Two,Normal,22,168861,36,N38 N21 G N37 S32 G S37 S29 G N12 N02 G S11 N09 G S26 N30 G N31 S30+ G N10,,N29 N12 N11 N10 N09 N08 N07 N06 N21 N40 S30 S29
Monte Carlo Beeline 4,Monte Carlo Beeline 3,One,Normal,24,172020,32,N34 N04 G S31 S14 G S27 S12 G N24 S14+ G S03 S17 G N20 S30 G S28+ S39 G S09 S13+ G,N33 N34 S24 S25 S26 S27 S28 S29 S30 S31 S14 S15 S33,
Monte Carlo Tree Search,Parallel MCTS Beeline,One,Normal,24,174425,72,S10 N07 G S15 S19 G N38 S28 G S25 S12 G N28 N04 G S37 N16 G N13 S39 G S37 N38 G,N18 N37 N38 S28 S29 S12 S11 S10 S02 S01 S05 S19 S18,
Parallel MCTS Beeline,Monte Carlo Tree Search,Two,Normal,33,292718,59,S29 N18 G N22 N19 G S19 S02 G N40 N24 G S15 N31 G S14 S22 G N33 N32 G N32+ N38 G N19 N03 G S30+ S21 G S22 S26+ G,,N02 N03 N04 N16 N17 N35 N36 S26 S25 S09 S10 S02
