Player One,Player Two,Winner,Termination,Total Moves,Total Milliseconds,Starting Tile Index,Transcript,Winning Path One,Winning Path Two
Monte Carlo Beeline 4,Monte Carlo Beeline 4,Two,Normal,22,176198,4,N10 S08 G S32 N21 G N31 N07 G N37 N19 G N23 S12 G N34 S24 G S20 S25+ G S24,,N34 S24 S25 S09 S10 S11 S12 S13 S14 S15 S33 S34
Monte Carlo Tree Search,Monte Carlo Tree Search,Two,Normal,21,163799,18,N20 S11 G S33 N25 G S26 S23 G N08 S09 G S07 S08 G S08+ S09 G S06 S09 G,,N22 S32 S31 S14 S13 S12 S11 S10 S09 S08 S23 S22
Monte Carlo Beeline 3,Monte Carlo Beeline 3,One,Normal,24,188690,16,N19 S26 G S34 S36 G N08 N37 G S18 S37 G S15 S30 G N25 S19 G S31 S23 G N25 N11 G,N19 N05 N01 N02 N10 N11 N27 N26 S36 S37 S18 S19,
Monte Carlo Beeline 4,Monte Carlo Tree Search,Two,Normal,24,173331,7,N09 N03 G S38 N14 G N12 N11 G N05 N19 G S04 S07 G S26 S08 G S20 S06 G S36+ S20 G,,N01 N02 N10 N11 N27 N28 S38 S39 S40 S21 S06 S07 S01
Parallel MCTS Beeline,Parallel MCTS,Two,Normal,18,228458,1,N01 N36 G S19 N23 G S32 S07 G S10 S17 G S14 S37 G S18+ S03 G,,N18 N37 N36 S26 S27 S11 S10 S02 S01 S05 S19 S18
Monte Carlo Beeline 3,Parallel MCTS Beeline,One,Normal,27,221147,54,S27 S16 G S26 N01 G N35 N26 G S25 S03 G N39 N03 G N13 N11 G N32 N20 G N28 S38 G N27 S19 G,N01 N05 N19 N18 N37 N38 S28 S27 S11 S10 S02 S01,
Parallel MCTS,Monte Carlo Beeline 3,Two,Normal,22,224649,0,N07 N33 G N27 S23 G N21 S27 G S04 S31 G N13 S13 G N14 N36 G S37 S35 G S17,,N11 N27 N26 S36 S35 S17 S16 S04 S03 S13 S12 S11
Monte Carlo Beeline 3,Monte Carlo Beeline 4,One,Normal,31,218554,76,S13 S04 G N23 S23 G N07 N02 G S34 N34 G N09 N31 G N20 N19 G N14 N15 G N20+ N19 G S20 N12 G S32 S38 G N01,N08 N07 N01 N05 N19 N18 N17 N35 N34 S24 S23 S08,
Monte Carlo Beeline 4,Parallel MCTS Beeline,One,Normal,25,248397,4,N10 N37 G S32 N21 G N30 N01 G N27 S07 G S29 S02 G N23 S09 G N11 N02 G S21 S12+ G S06+,N09 N10 N11 N12 N29 N30 S40 S21 S06 S07 S08 S09,
Monte Carlo Tree Search,Parallel MCTS,One,Normal,27,264368,37,S28 S29 G S39 S13 G S35 S06 G N08 N28 G N14 S24 G N17 N35 G N30 S22 G N25 N31+ G S05 N23+ G,S36 S35 S34 S33 S15 S14 S13 S12 S11 S27 S26 N36,
