Player One,Player Two,Winner,Termination,Total Moves,Total Milliseconds,Starting Tile Index,Transcript,Winning Path One,Winning Path Two
Monte Carlo Tree Search,Monte Carlo Tree Search,Two,Normal,22,155780,20,N22 S03 G N40 N20 G N35 N18 G S39 N38 G N30 S26 G N27 S37 G N37 S19 G S40,,S40 S39 S20 S19 S05 S04 S03 S13 S12 S29 S30 N40
Monte Carlo Beeline 4,Monte Carlo Beeline 4,Two,Normal,24,177174,33,S24 N33 G N37 N16 G N35 N05 G S16 S15 G S12 S10 G S27 N10 G N03 S01 G S27+ N34+ G,,N01 N05 N19 N20 N39 N38 S28 S27 S11 S10 S02 S01
Monte Carlo Tree Search,Parallel MCTS,One,Normal,18,179097,18,N20 S09 G S16 S02 G S27 N06 G S33 N02 G N12 S29 G N37 S10 G,N01 N05 N19 N20 N39 N38 S28 S27 S11 S10 S02 S01,
Monte Carlo Beeline 3,Monte Carlo Beeline 3,One,Normal,25,185530,76,S13 N34 G S38 S36 G N10 S29 G S15 S31 G N38 S17 G N22 S32 G N30 S30 G N08 N24 G S33,N02 N10 N09 N25 N24 S34 S33 S32 S31 S14 S13 S03 S02,
Monte Carlo Tree Search,Monte Carlo Beeline 3,Two,Normal,22,157199,70,S06 N34 G S01 S25 G S36 S08 G N21 S14 G S24 S23 G S16 N31 G S33 S17 G S24,,N17 N35 N34 S24 S23 S08 S07 S01 S05 S04 S16 S17
Parallel MCTS Beeline,Monte Carlo Beeline 4,Two,Normal,22,209868,2,N08 N14 G N36 S14 G S32 S03 G S12 N35 G N27 N17 G S13 S28 G S27 S40 G S27,,N13 N14 N15 N16 N17 N35 N36 S26 S27 S11 S12 S13
Parallel MCTS Beeline,Monte Carlo Tree Search,Two,Normal,21,194984,9,N03 N39 G N24 S01 G S20 N12 G N35 N36 G N30 N17 G S28 N14 G N22 N07 G,,N34 N35 N17 N18 N19 N20 N06 N07 N08 N23 N24 S34
Monte Carlo Beeline 3,Parallel MCTS Beeline,One,Normal,21,192182,76,S13 N07 G S38 N28 G S34 N06 G S15 S33 G N26 S36 G S01 S27 G S25 S21 G,N11 N27 N26 N25 N24 S34 S33 S15 S14 S13 S12 S11,
Parallel MCTS,Monte Carlo Tree Search,Two,Normal,22,218341,50,S23 S40 G S04 N31 G S17 N13 G S30 S01 G N29 S19 G S29 N26 G S05 N12+ G S05,,S40 S39 S20 S19 S05 S04 S03 S13 S12 S29 S30 N40
Monte Carlo Beeline 3,Monte Carlo Beeline 4,One,Normal,31,206375,79,S14 N30 G N34 S26 G N17 S11 G S30 N40 G N25 S29 G S08 S09 G S02 N06 G S10 N10 G S34 N06+ G N02 N01 G S10,N10 N09 N25 N26 S36 S35 S17 S16 S04 S03 S02 S10,
