Player One,Player Two,Winner,Termination,Total Moves,Total Milliseconds,Starting Tile Index,Transcript,Winning Path One,Winning Path Two
Monte Carlo Tree Search,Monte Carlo Tree Search,One,Normal,24,74349,8,N13 S21 G N11 N28 G S17 S37 G N18 N26 G S24 N30 G S11 N12 G N12+ N29 G N11 N29 G,N04 N03 N13 N12 N29 N28 N27 N26 S36 S35 S17 S16 S04,
Monte Carlo Beeline 4,Monte Carlo Beeline 4,One,Normal,30,104067,8,N13 N16 G N20 S15 G N07 N02 G S10 S01 G S21 N30 G S24 S25 G N22 S04 G S04 S28 G S24 N40+ G N32+ N23+ G,N07 N08 N23 N24 S34 S35 S17 S18 S19 S05 S01 S07,
Monte Carlo Beeline 3,Monte Carlo Beeline 3,Two,Normal,30,113778,51,S21 N36 G N03 S03 G S27 S09 G S01 N10 G S05 S19 G N27 N19 G N29 S02 G N01 S26 G S38 S37 G N11 S30 G,,N07 N01 N05 N04 N16 N17 N35 N34 S24 S23 S08 S07
Monte Carlo Beeline 4,Monte Carlo Tree Search,Two,Normal,22,85133,26,N25 N06 G S15 N01 G S19 S18 G N37 S32 G S31 S14+ G S29 S31+ G N30 S14 G S29+,,N18 N37 N38 S28 S29 S12 S13 S14 S15 S16 S17 S18
Parallel MCTS Beeline,Monte Carlo Beeline 4,Two,Normal,21,131633,1,N01 N07 G S37 S32 G S39 N07+ G N18 N38 G S20 N26 G S19 S06 G S27 S09 G,,N17 N18 N19 N20 N06 N07 N08 N09 N25 N26 S36 S35 S17
Monte Carlo Tree Search,Parallel MCTS,One,Normal,18,131762,68,S07 N01 G S26 N10 G N30 S12 G S32 N13 G N02 S38 G S17 N19 G,N02 N10 N11 N12 N29 N30 S40 S21 S06 S07 S01 S02,
Parallel MCTS Beeline,Monte Carlo Tree Search,Two,Normal,18,121585,3,N06 N02 G N24 S21 G S01 N17 G N33 S08 G S17 S09 G S32 S30 G,,N34 N33 N15 N16 N04 N03 N02 N10 N09 N25 N24 S34
Monte Carlo Beeline 3,Monte Carlo Beeline 4,Two,Normal,30,110004,44,S38 N27 G N31 N12 G S10 N03 G N24 N25 G S21 S01 G S08 S04 G N07 N39 G S02 S23 G S23 N40 G N19 S31 G,,N34 N33 N15 N16 N04 N05 N19 N20 N39 N40 N21 N22 N23 N24 S34
Parallel MCTS Beeline,Parallel MCTS,Two,Normal,18,128398,63,S17 N15 G N03 N30 G S29 N27 G S34 S24 G N25 N24 G N24+ N35 G,,N33 N15 N14 N13 N12 N11 N27 N26 N25 N24 S34 S33
Monte Carlo Beeline 4,Parallel MCTS Beeline,One,Normal,24,146022,48,S22 N01 G N23 S16 G N35 N08 G S06 S38 G S31 N04 G S02 N25 G S40+ S29 G S28 N38 G,N17 N35 N34 S24 S23 S22 S21 S40 S39 S38 S37 S18 S17,
Parallel MCTS,Monte Carlo Tree Search,Two,Normal,21,146072,13,N04 S25 G S20 S09 G S24 N22 G S16 N11 G S10 N21 G S34 S33 G S23 S34+ G,,N06 N21 N22 N23 N24 S34 S35 S17 S18 S19 S20 S06
Parallel MCTS,Monte Carlo Beeline 3,Two,Normal,22,127606,71,S08 S36 G N03 N01 G N37 S15 G N11 S29 G S06 N19 G N27 S29+ G N14 N21 G S13,,N13 N12 N11 N27 N26 S36 S35 S34 S33 S15 S14 S13
